,tweet_id,retweet_count,favorite_count,retweeted,display_text_range
2076,670832455012716544,242,780,False,"[0, 86]"
2077,670826280409919488,4485,5961,False,"[0, 139]"
2078,670823764196741120,205,824,False,"[0, 65]"
2079,670822709593571328,105,647,False,"[0, 74]"
2080,670815497391357952,1708,3410,False,"[0, 66]"
2081,670811965569282048,295,1202,False,"[0, 123]"
2082,670807719151067136,546,1234,False,"[0, 143]"
2083,670804601705242624,1035,2098,False,"[0, 140]"
2084,670803562457407488,95,362,False,"[0, 116]"
2085,670797304698376195,262,780,False,"[0, 140]"
2086,670792680469889025,298,889,False,"[0, 140]"
2087,670789397210615808,255,700,False,"[0, 139]"
2088,670786190031921152,218,640,False,"[0, 119]"
2089,670783437142401025,431,872,False,"[0, 136]"
2090,670782429121134593,863,1691,False,"[0, 76]"
2091,670780561024270336,317,831,False,"[0, 136]"
2092,670778058496974848,77,345,False,"[0, 55]"
2093,670764103623966721,466,1154,False,"[0, 134]"
2094,670755717859713024,123,475,False,"[0, 120]"
2095,670733412878163972,558,1030,False,"[0, 124]"
2096,670727704916926465,403,887,False,"[0, 121]"
2097,670717338665226240,547,1301,False,"[0, 95]"
2098,670704688707301377,405,814,False,"[0, 135]"
2099,670691627984359425,266,632,False,"[0, 123]"
2100,670679630144274432,315,799,False,"[0, 139]"
2101,670676092097810432,45,267,False,"[0, 116]"
2102,670668383499735048,5537,11452,False,"[0, 123]"
2103,670474236058800128,835,1635,False,"[0, 140]"
2104,670468609693655041,90,375,False,"[0, 139]"
2105,670465786746662913,608,1048,False,"[0, 138]"
2106,670452855871037440,225,580,False,"[0, 60]"
2107,670449342516494336,729,1264,False,"[0, 140]"
2108,670444955656130560,2153,7120,False,"[0, 88]"
2109,670442337873600512,213,690,False,"[0, 124]"
2110,670435821946826752,570,1127,False,"[0, 106]"
2111,670434127938719744,708,1501,False,"[0, 135]"
2112,670433248821026816,122,345,False,"[0, 126]"
2113,670428280563085312,694,1484,False,"[0, 64]"
2114,670427002554466305,179,551,False,"[0, 139]"
2115,670421925039075328,709,1415,False,"[0, 40]"
2116,670420569653809152,342,668,False,"[0, 104]"
2117,670417414769758208,350,604,False,"[0, 128]"
2118,670411370698022913,991,2176,False,"[0, 109]"
2119,670408998013820928,249,600,False,"[0, 134]"
2120,670403879788544000,173,460,False,"[0, 139]"
2121,670385711116361728,234,593,False,"[0, 140]"
2122,670374371102445568,295,785,False,"[0, 140]"
2123,670361874861563904,71,344,False,"[0, 137]"
2124,670338931251150849,122,451,False,"[0, 103]"
2125,670319130621435904,1359,4110,False,"[0, 49]"
2126,670303360680108032,151,452,False,"[0, 138]"
2127,670290420111441920,315,750,False,"[0, 110]"
2128,670093938074779648,365,1106,False,"[0, 133]"
2129,670086499208155136,275,740,False,"[0, 140]"
2130,670079681849372674,1373,2390,False,"[0, 140]"
2131,670073503555706880,874,1674,False,"[0, 112]"
2132,670069087419133954,278,676,False,"[0, 140]"
2133,670061506722140161,373,822,False,"[0, 140]"
2134,670055038660800512,357,716,False,"[0, 130]"
2135,670046952931721218,191,684,False,"[0, 144]"
2136,670040295598354432,118,801,False,"[0, 59]"
2137,670037189829525505,306,625,False,"[0, 140]"
2138,670003130994700288,100,352,False,"[0, 133]"
2139,669993076832759809,92,344,False,"[0, 125]"
2140,669972011175813120,175,471,False,"[0, 134]"
2141,669970042633789440,65,317,False,"[0, 139]"
2142,669942763794931712,183,536,False,"[0, 139]"
2143,669926384437997569,115,400,False,"[0, 98]"
2144,669923323644657664,64,250,False,"[0, 138]"
2145,669753178989142016,431,858,False,"[0, 124]"
2146,669749430875258880,71,289,False,"[0, 129]"
2147,669684865554620416,99,551,False,"[0, 125]"
2148,669683899023405056,119,412,False,"[0, 70]"
2149,669682095984410625,146,375,False,"[0, 93]"
2150,669680153564442624,311,712,False,"[0, 139]"
2151,669661792646373376,482,860,False,"[0, 139]"
2152,669625907762618368,1963,3769,False,"[0, 98]"
2153,669603084620980224,401,1006,False,"[0, 140]"
2154,669597912108789760,163,550,False,"[0, 140]"
2155,669583744538451968,1017,1587,False,"[0, 140]"
2156,669573570759163904,156,467,False,"[0, 122]"
2157,669571471778410496,1085,1684,False,"[0, 83]"
2158,669567591774625800,61,248,False,"[0, 139]"
2159,669564461267722241,133,413,False,"[0, 138]"
2160,669393256313184256,83,383,False,"[0, 133]"
2161,669375718304980992,792,1425,False,"[0, 111]"
2162,669371483794317312,196,524,False,"[0, 139]"
2163,669367896104181761,172,485,False,"[0, 92]"
2164,669363888236994561,252,669,False,"[0, 135]"
2165,669359674819481600,134,390,False,"[0, 139]"
2166,669354382627049472,1390,2889,False,"[0, 64]"
2167,669353438988365824,281,687,False,"[0, 114]"
2168,669351434509529089,207,474,False,"[0, 125]"
2169,669328503091937280,452,1081,False,"[0, 120]"
2170,669327207240699904,127,610,False,"[0, 138]"
2171,669324657376567296,223,525,False,"[0, 139]"
2172,669216679721873412,422,958,False,"[0, 137]"
2173,669214165781868544,183,468,False,"[0, 134]"
2174,669203728096960512,522,1074,False,"[0, 120]"
